BRCA2(IV),RAD51
BRCA2(IV),DMC1
TOC1,PIF4
TOC1,PIL6
TOC1,PRR9
ASK2,LKP2
SK3,LKP2
SK4,LKP2
SK5,LKP2
SK11,LKP2
SK14,LKP2
SK20,LKP2
LKP2,ZTL
LKP2,FKF1
TOC1,ZTL
TOC1,LKP2
TOC1,FKF1
PRR5,ZTL
PRR5,LKP2
PRR5,FKF1
PRR3,TOC1
ZTL,GI
SPL11,GI
FKF1,GI
LKP2,GI
CO,NF-YC1
CO,NF-YC2
CO,NF-YC9
CO,NF-YB1
CO,NF-YB2
AT1G28050,NF-YB2
AT1G28050,NF-YB1
AT1G28050,NF-YC1
AT1G28050,NF-YC2
AT1G28050,NF-YC9
ZTL,PHYB
PIF3,PHYB
TOC1,PIF3
PIL6,PIF3
TOC1,PIL1
TOC1,PIL2
TOC1,PIL5
AHP5,MYC2
PRR5,WNK1
PRR3,WNK1
PRR5,WNK4
FKF1,ASK2
GI,CDF1
GI,SPY
TBP2,TRB2
CCA1,CKB3
CCA1,CKB2
CCA1,CKB1
CCA1,CKA1
LHY,CCA1
LHY,TOC1
TOC1,CCA1
PRR7,PHYA
PHYA,PHYB
PRR9,PRR7
LHY,CKB3
CKA1,LHY
GL3,MYB23
GL3,MYB0
GL3,TRY
GL3,TTG1
ELF3,PHYB
PRR9,PRR5
PRR7,PRR5
LHY,GI
CO,GI
FT,GI
RFI2,GI
RFI2,CO
GI,TOC1
CO,SPY
FT,SPY
FCA,EFS
FVE,EFS
CO,EFS
FWA,EFS
GI,EFS
ELF3,FT
ELF3,LD
ELF3,FCA
ELF3,FWA
PRR5,TOC1
PRR5,LHY
PRR5,CCA1
PRR7,LHY
PRR7,CCA1
PIL6,PHYB
PRR7,PHYB
PIF3,PRR7
CCA1,TIC
LHY,TIC
TIC,ELF4
TIC,ELF3
TOC1,TIC
TIC,GI
GI,COP1
CRY2,COP1
LD,COP1
HY5,PAP1
CUL1,EBF2
CUL1,EBF1
CUL1,RBX1
CAND1,CUL1
SCL13,PHYB
HK2,HK3
HK2,WOL
HK3,WOL
ZTL,DI19
LKP2,DI19
FKF1,DI19
COL1,LKP2
LKP2,CO
LKP2,COL2
LKP2,COL3
LKP2,COL4
LKP2,COL5
LKP2,AT2G47890
LKP2,AT2G33500
AT1G68520,LKP2
AT1G28050,LKP2
ABCB1,AXR1
TOC159,TIC110
TOC132,TIC110
TOC132,TOC120
TOC120,TIC110
TIC110,TIC40
TOC33,TIC110
TOC33,TOC159
TIC40,CLPC1
ZTL,CUL1
ZTL,RBX1
TIC110,AT4G23430
AT4G23430,TIC40
AT4G23430,AT3G23710
TIC110,AT3G23710
COI1,SK11
COI1,SK12
COI1,SKP1
COI1,ASK2
EBF1,SKP1
EBF1,ASK2
EBF1,SK11
EBF1,SK12
FKF1,SKP1
FKF1,SK3
FKF1,SK11
FKF1,SK12
FKF1,SK13
AT4G39550,SK13
AT4G39550,SK14
HWS,SKP1
HWS,ASK2
HWS,SK3
HWS,SK9
HWS,SK11
HWS,SK12
HWS,SK13
HWS,SK14
HWS,SK16
HWS,SK18
AT5G49610,SKP1
AT5G49610,ASK2
AT5G49610,SK11
AT5G49610,SK12
AT5G49610,SK13
AT5G49610,SK14
AT5G49610,SK18
PP2-B10,ASK2
PP2-B10,SK11
PP2-B10,SK12
ZTL,CRY1
TOC34,TOC159
TOC34,TOC132
TOC34,TOC120
HRB1,PIF4
HRB1,FT
HRB1,PHYB
HRB1,CRY2
CO,HRB1
PFT1,HRB1
MYB0,MYB23
GL2,MYB23
TRY,MYB23
ELF4,HUA2
FRI,HUA2
FPA,HUA2
LD,HUA2
ZTL,ELF3
CO,ELF3
ELF3,PHYA
ELF3,HY2
DET1,HY5
SRR1,PHYB
MYB2,MYC2
MYC2,MYB23
MYB0,CPC
CPC,TRY
MYB66,CPC
TTG1,MYB0
PHYA,PKS1
PHYB,PKS1
PIF7,PHYB
PIF3,PIF7
PIF4,PIF7
PIF4,PIF3
RGA1,PIF3
RGA1,PIF4
PHYB,SOB3
SOB3,ESC
PIF4,PIL6
PHYA,PIL6
PHYA,PIF3
MYB18,HFR1
COP1,HFR1
AT2G37680,FHL
PHYB,ARR4
ARR4,AHP1
PHYB,CRY2
PIF3,HFR1
PHYA,GAI
JAR1,FIP1
PHYA,AT2G37680
PHYA,FHL
SPA1,CO
SPA2,CO
SPA3,CO
SPA4,CO
KDR,HFR1
EID1,SK4
EID1,SK11
EID1,SK13
EID1,SK14
CUL1,SK3
CUL1,SK4
CUL1,SK10
CUL1,SK11
CUL1,SK13
CUL1,SK14
CUL1,SK15
CUL1,SK16
CUL1,SK18
CUL1,SK19
CUL1,ASK2
EID1,SK9
EID1,SK15
