AN7821.2,AN7425.2
AN6197.2,AN6125.2
AN4761.2,AN1459.2
AN5105.2,AN1459.2
AN5105.2,AN4761.2
AN5973.2,AN4332.2
AN3719.2,AN2290.2
AN3719.2,AN0807.2
AN3719.2,AN1959.2
AN3719.2,AN1052.2
AN1052.2,AN0807.2
AN1052.2,AN0363.2
AN1052.2,AN2142.2
AN3422.2,AN2269.2
AN3422.2,AN7252.2
AN7252.2,AN2269.2
AN7252.2,AN3719.2
AN3422.2,AN3719.2
AN1191.2,AN2298.2
AN1191.2,AN4399.2
AN1191.2,AN4869.2
AN1191.2,AN5784.2
AN1191.2,AN5872.2
AN1191.2,AN6547.2
AN1191.2,AN2174.2
AN1191.2,AN0253.2
AN1191.2,AN0440.2
AN1191.2,AN0668.2
AN1191.2,AN0671.2
AN1191.2,AN0976.2
AN1191.2,AN1060.2
AN1191.2,AN1546.2
AN1191.2,AN2141.2
AN1191.2,AN2181.2
AN1191.2,AN2415.2
AN1191.2,AN2769.2
AN1191.2,AN3621.2
AN1191.2,AN3688.2
AN1191.2,AN3907.2
AN1191.2,AN4445.2
AN1191.2,AN4894.2
AN1191.2,AN5498.2
AN1191.2,AN6505.2
AN1191.2,AN7170.2
AN1191.2,AN7608.2
AN1191.2,AN9399.2
AN1191.2,AN9538.2
AN1191.2,AN0161.2
AN1191.2,AN1635.2
AN1191.2,AN3082.2
AN1191.2,AN5124.2
AN1191.2,AN0241.2
AN1191.2,AN0554.2
AN1191.2,AN4258.2
AN1191.2,AN1466.2
AN1191.2,AN3038.2
AN1191.2,AN4622.2
AN1191.2,AN4705.2
AN1191.2,AN5212.2
AN1191.2,AN5532.2
AN1191.2,AN6560.2
AN1191.2,AN9087.2
