PGI1,sthA
atl1,uvrA
MSS116,srmB
IDP1,nadK
MAE1,nadK
POS5,nadK
ALD5,nadK
clpB,CSE2
clpB,GAL11
clpB,MED1
clpB,MED11
clpB,MED2
clpB,MED4
clpB,MED6
clpB,MED7
clpB,MED8
clpB,NUT1
clpB,NUT2
clpB,PGD1
clpB,RGR1
clpB,ROX3
clpB,RPO21
clpB,SIN4
clpB,SOH1
clpB,SRB2
clpB,SRB4
clpB,SRB5
clpB,SRB6
clpB,SRB7
clpB,SRB8
clpB,SSN2
clpB,SSN8
clpB,TAF14
clpB,SUP35
pyrD,URA1
OGG1,mutY
RAD18,mutY
POL30,mutY
ispB,dps1
ispB,dlp1
ORC4,dnaK
ORC2,dnaK
GPT2,dgkA
SCT1,dgkA
GPD1,srlD
GPD2,srlD
GPD1,gldA
GPD2,mgsA
rdgB,purA
guaB,rdgB
clpS,clpA
clpB,dnaK
clpB,grpE
bamE,bamD
yajL,rpoA
yajL,rpoB
yajL,dnaK
yajL,dnaJ
yajL,groL
yajL,clpB
yajL,pepN
yajL,secA
yajL,katE
yajL,ahpC
yajL,bcp
yajL,alaS
yajL,ileS
yajL,leuS
yajL,thrS
yajL,pheS
yajL,tufA
yajL,tufB
yajL,hns
yajL,fur
yajL,lacI
yajL,malT
yajL,tpx
yajL,gapA
yajL,adhE
yajL,ptsI
yajL,aldA
yajL,aceE
yajL,sucA
yajL,tnaA
yajL,acnA
yajL,acnB
yajL,sdhB
yajL,nuoG
yajL,fdoG
yajL,fbaA
yajL,rluC
yajL,rpsA
yajL,rpsB
yajL,rpsC
yajL,rpsD
yajL,rpsH
yajL,rpsJ
yajL,rpsK
yajL,rpsL
yajL,rpsS
yajL,rplB
yajL,rplE
yajL,rplF
yajL,rplJ
yajL,rplK
yajL,rplL
yajL,rplM
yajL,rplN
yajL,rpmA
yajL,rpmB
nse6,rusA
nse5,rusA
mus81,rusA
rqh1,rusA
SUI2,metT
SUI3,metT
MGE1,dnaK
Grpel1,dnaK
Grpel2,dnaK
malE,RKR1
YFH1,iscU
ompA,HSP90B1
tus,TUBA4A
dnaJ,dnaK
cbpA,dnaK
mutH,mutL
iscS,fdhD
