NOS1,Ctbp1
BAX,Bak1
NCOA4,Nr3c1
Bcar1,Pik3r1
MAPKAPK2,Tsc2
Tsc2,YWHAB
PTPN13,Apc
Ctbp1,Nos1
Gemin2,Smad9
Picalm,Ehd2
Ehd2,Slc2a4
AATF,Tsg101
DYNLL1,Car1
DYNLL1,Ldha
DYNLL1,Aldoa
DYNLL1,Mta1
DYNLL1,Cacnb1
DYNLL1,Glul
DYNLL1,Actb
DYNLL1,Actg1
DYNLL1,Mdh1
DYNLL1,Vim
DYNLL1,Zfp780b
DYNLL1,Glud1
DYNLL1,Tuba1a
DYNLL1,Tubb2b
DYNLL1,Gphn
DYNLL1,Pfkp
DYNLL1,Pfkm
DYNLL1,Pard3
DYNLL1,Map1lc3b
DYNLL1,Dync1h1
DYNLL1,Mastl
DYNLL1,Dlg4
DYNLL1,Dnm3
DYNLL1,Grin2a
DYNLL1,Mtr
DYNLL1,Dnm2
DYNLL1,Clip2
DYNLL1,Nos1
DYNLL1,Grin3a
DYNLL1,Ube2k
Baiap2,Dlg3
Baiap2,Eps8l1
Baiap2,Cnksr3
Baiap2,Dlg1
Baiap2,Magi2
Baiap2,Lin7b
BAIAP2,Lin7b
Agap2,Homer1
Agap2,Homer2
Adora1,Epb41l2
Glrb,Gphn
Glrb,Pfn1
Glrb,Gphn
Glrb,Pfn1
Gphn,Pfn1
Gphn,Pfn2
Gphn,Enah
DPYSL2,Numb
Scn2a,SCN4B
MLLT10,Tuba1a
Epn1,Tuba1a
Tuba1a,Epn2
TP53,Hipk1
Arc,Tfpt
Ruvbl1,PLG
Smarcd1,Jun
Smarcd1,Fos
Smarca4,Smarcb1
P2rx7,ACTB
P2rx7,HSPA8
P2rx7,HSPA4
P2rx7,PTPRZ1
P2rx7,ITGB2
P2rx7,MPP3
P2rx7,LAMA3
P2rx7,ACTN4
P2rx7,SVIL
P2rx7,HSP90AA1
Ncald,Cltc
Ncald,Actb
Ncald,Gapdh
Clic4,Ywhae
Clic4,Ywhaz
Clic4,Actb
Clic4,Dnm1
Dnm1,CLIC4
Clic4,CAV1
Pld2,Actb
PLD2,Actb
PLD1,Actb
Rab11b,SREBF2
SUV39H2,Cggbp1
TOE1,Dnaja2
GOLGB1,Sh3d21
Nfe2l2,Atf4
Ppara,Dut
Dut,Ppara
Dut,Ppard
Dut,Pparg
ANXA6,Rasa1
Gabarap,Gabrg1
Gabarap,Gabrg2
Gabarap,Gphn
Pex5,Hspa4
SRF,Ssrp1
Rps6ka1,ETV1
Snap25,STX1A
Snap25,STX2
Snap25,STX3
Snap25,STX4
STXBP1,Apba1
STXBP1,Apba2
STXBP1,Dlg4
STXBP1,Stx5
Apba1,Stxbp1
Apba1,Stx1a
Apba1,Snap25
Apba2,Stxbp1
Apba2,Stx1a
Snap29,Ap2a1
Igf1r,Ehd1
Igf1r,Snap29
Snap29,Ehd1
FXYD7,Atp1a1
FXYD7,Atp1b1
ZHX1,Zhx1
BTG2,Pick1
CEACAM5,Hnrnpm
Psmc3ip,NR3C1
Lepr,Apod
Pik3r2,Irs1
Pik3r2,Irs2
GNAI3,Nucb1
Crhr2,UCN
Rac1,Tuba1a
Rac1,Tubb2b
MECR,Hnf4a
MECR,Thrb
Gabrr3,Sqstm1
Slc40a1,Sqstm1
Sqstm1,Prkcz
Sqstm1,Kcnab2
Csnk1e,Per1
Csnk1e,Per2
Csnk1e,Per3
CEBPA,Atf2
Atf2,CEBPB
Clip1,CLASP2
Grm7,FLNA
Grm5,FLNA
Grm8,FLNA
Grm7,FLNA
Cib1,Plk2
Cib1,Plk3
Ngfr,Maged1
CELF2,Apob
Myo7a,Keap1
SH3GLB1,Map4k3
NFASC,Sdcbp
NFASC,Sdcbp2
Sdcbp2,Sdcbp
Caskin1,Cask
DLG4,Cript
DLG4,Kcna4
DLG4,Grin2b
Rgs12,CXCR2
Ppara,NRIP1
Adrb2,Akap5
Adrb2,Prkcg
Tcf3,Twist1
Tcf3,Id3
Tcf3,Psmd9
Rps6kb1,CSNK2B
Mtor,EIF4EBP1
Eif4e,EIF4G1
Thra,PIK3R1
Tsc2,TSC1
Mtor,GPHN
Tsc1,Ren
Tsc1,Tsc2
Nefl,Tsc2
MTOR,Stat3
Irs1,Pik3r1
FKBP1A,Mtor
Nefl,Tsc1
Pik3r1,Thra
Coasy,Rps6kb1
Mtor,Eif4ebp1
Eif4e,Eif4ebp1
INSR,Grb14
Tnr,Bcan
Ephb1,EFNB2
Itpr2,TRPC4
Slc12a3,Pdia3
Uxs1,Akt1
Nutf2,Ran
Amph,Dnm1
Sos1,Pacsin1
Thrb,MED1
Thrb,ZNHIT3
Thrb,TRIP4
Thrb,KIF11
Thrb,TRIP6
Thrb,HMGN3
Thrb,JMJD1C
Thrb,NFKBIB
Thrb,TRIP10
Thrb,TRIP11
Thrb,COPS2
Strbp,Eif2ak2
Prkaa1,CFTR
Ar,CTNNB1
HTT,Ncor1
VAMP8,Stx7
VAMP8,Vti1a
VAMP8,Stx8
Csnk2a1,PUF6
Pxn,Ilk
Sorbs2,Dlgap1
Nos1,Cav3
Ywhab,Snca
Snca,Prkce
Snca,Prkca
Snca,Prkcg
Bad,Snca
Snca,Raf1
Snca,Map2k1
Tnfrsf8,TRAF2
Tnfrsf8,TRAF5
Snca,Th
Ebf1,Zfp423
Kiss1r,Kiss1
Dapk3,Pawr
Dapk3,Rab3ip
Dapk3,Atf4
Dapk3,Tpm1
Dapk3,Aatf
Homer1,Shank1
Homer1,Shank3
Shank3,Dlgap3
Shank3,Grm5
Gfra1,Nrtn
Gfra1,Gdnf
Kcna2,Cttn
Rabif,Rab15
CDK5R1,Cdk5rap3
CDK5R1,Cdk5rap1
CDK5R1,Cdk5rap2
Efs,Ptk2b
Ptk2b,EFS
Plcg1,Snap91
Vdac1,BCL2L11
RXRA,Parp1
Kcnab1,Kcna2
Epn1,Zbtb16
Apbb1,APP
Csnk1d,AKAP9
Csnk1e,AKAP9
Scnn1g,Wwp1
Scnn1g,Tsg101
Scnn1g,UBE2I
Khdrbs3,KHDRBS1
Khdrbs3,YTHDC1
Khdrbs3,SRSF9
Khdrbs3,HNRNPL
Khdrbs3,RBMX
Khdrbs3,SAFB
Safb,Khdrbs3
Khdrbs3,Khdrbs1
Khdrbs3,Rbmx
Khdrbs3,Ythdc1
Slc40a1,Prkcz
Slc40a1,Kcnab2
Kcnab2,Prkcz
Slc40a1,Kcnab1
Prkcz,Fez1
Uts2r,UTS2
CRHR1,Ucn
Crhr2,Ucn
Crhr2,Ucn
Crhr2,UCN2
Crhr2,UCN3
Crhr2,Ucn2
Crhr2,Ucn3
GOPC,Stx6
ATP2B2,Dlg4
