RPE65,SLC27A1
ABAT,ALDH5A1
CSNK2B,CALM3
Insr,CALM3
PSMD4,LOC396905
LOC396905,UBC
PSMD8,AQN-1
UBA1,AQN-1
AP1G1,CCDC91
AP1G1,LOC100154987
AP1G1,HEATR5B
AP1G1,SYNRG
AP1G1,RABEP1
AP1G1,HSP70
GGA2,CCDC91
GGA2,HEATR5B
GGA2,SYNRG
GGA2,RABEP1
GGA1,CCDC91
GGA1,HEATR5B
GGA1,SYNRG
SCARB2,AP3S2
M6PR,GGA3
LOC100037957,MYO6
LOC100037957,MYH2
MYO6,CALM1
cdk1-a,VCP
PR39,Gm13835
PR39,PSMA7
PR39,PSMA2
SUCLG1,SUCLG2
NR6A1,NCOR1
NR6A1,RAP80
Nphp4,LOC100302368
HSPB1,CS
Hspb1,CS
PSMA1,PSMA3
PSMA1,PSMA4
PSMA1,PSMA5
PSMA1,PSMA8
PSMA1,PSMA7
PSMA1,LOC100155139
PSMA1,PSMB6
PSMA1,AWN
PSMA1,PSP-I
PSMA1,SPMI
PSMA1,BSP1
PSMA1,ACRBP
PSMA1,ADAM5
PSMA1,LOC100525409
PSMA1,MFGE8
Serpinb1a,CELA1
MAPRE1,LOC100158003
MAPRE1,TUBB2A
HSP90AA1,NOS3
HSP90AA1,PTGIS
HSP90AA1,TBXAS1
cdk1-a,NSFL1C
UBB,AQN-1
UBB,SPMI
UBB,UBR7
UBB,ZP4
USP22,HIST1H2BD
ACTA1,TPM1
PHGK,MAPT
TUBB2A,MAPT
TUBB2A,DCTN1
MAP10,LOC100158003
MAP10,TUBB2A
MDH2,AT1G07400
MDH2,AT2G29500
TUBA1B,VIMP
PRKACA,Csnk1d
GAB1,PTPN11
GAB1,PIK3R1
PRKACA,PTPN11
PRKACA,GAB1
PRKACA,NOS3
NOS3,PTPN11
