fkh,P32
Tango9,phr
Noa36,CG11635
Noa36,CG3062
CG10014,Cam
drm,CG2316
drm,CG7101
bowl,Npc1b
bowl,CG12203
bowl,Pex5
CG10032,CG9467
CG10032,brk
CG10032,CG9663
CG10035,CG17666
CG43773,Sans
MBD-R2,CG9288
RtGEF,Pak
RtGEF,CG11345
RtGEF,CG11722
RtGEF,CG11876
RtGEF,Git
RtGEF,Galphao
RtGEF,fws
GstD1,hui
GstD1,sala
Syt4,CG9205
CG10051,CG2767
CG10051,CG4461
CG10053,CG14354
MAGE,CG13142
Sas-4,BEAF-32
Sas-4,rl
Sas-4,cm
Sas-4,CtBP
Sas-4,CG8010
MFS16,slgA
emc,prod
emc,HLH4C
emc,sc
RpL29,FER
CG10073,CG11023
CG10075,CG11322
spir,CG14579
spir,sax
spir,bsk
Prat2,CG3332
Prat2,CG5734
Egfr,veli
mahj,CG4983
swm,Pabp2
CG10086,CG10918
CG10086,MED19
CG10086,CG7180
CG10086,cg
CG10103,CG12082
CG10103,Traf-like
CG10103,Vps4
phyl,sinah
phyl,14-3-3zeta
phyl,ttk
phyl,eco
phyl,sina
L,Cks30A
L,CG5274
Cpr51A,CG11984
ple,MED19
CG10126,ced-6
CG10126,crn
tra2,Doa
tra2,Rbp1
CG10137,ATPCL
PpD5,CG18666
CG10139,CG10139
CG10139,fd68A
CG10139,CG17765
CG10139,Hug
CG10139,Src64B
CG10139,Sry-beta
robl62A,CG10834
robl62A,CG10927
CG10144,Dcp1
Rpn6,CSN4
CG10151,CG4270
Trs31,Trs20
Trs31,CG9577
CG10154,Sik3
CG10154,CG43896
Spred,ms(3)K81
CG10157,lig3
CG10157,CG31038
CG10158,CG17494
BEAF-32,BEAF-32
BEAF-32,Kat60
BEAF-32,CG10650
BEAF-32,Kebab
ImpL3,CG17029
eIF-3p66,CG2061
CG10164,RpII18
CG10164,CG12470
CG10164,CG4270
CG10164,msps
CG10164,CG7488
Mfap1,Rcd5
Mfap1,Drep-2
Mfap1,Prp38
Mfap1,Drep-3
Best2,CG8833
Ntf-2r,CG12081
Ntf-2r,Scm
CG10176,veli
CG10177,Arf102F
Mdr65,Neto
Mdr65,sns
CG10189,Nha1
Mlp84B,nesd
Mlp84B,Ssl1
Mlp84B,CG13501
Mlp84B,CG17440
Mlp84B,CG7046
Mlp84B,slow
Mlp84B,CG9572
CG10195,CG7025
Nup98-96,spo
CG10205,CG17019
CG10205,CG6357
nop5,eIF2B-beta
nop5,CG9825
NaPi-T,CG9754
CG10208,CG7564
CG10209,CG10209
CG10209,CG10918
CG10209,CycG
CG10209,CG14374
CG10209,elfless
CG10209,CG15458
CG10209,CG17362
CG10209,CG9040
Dmtn,CG17344
CG10211,CG11786
CG10214,CG7222
Ercc1,CG33052
Ercc1,mei-9
Ercc1,Xpac
CG10219,Tapdelta
CG10222,CG32683
CG10222,CG3704
RanBP3,CG5011
RanBP3,rdx
Kat60,Kat60
Kat60,kat80
Kat60,shot
Kat60,CG7856
Rpn9,Rpn5
rtp,kni
rtp,NiPp1
CG10237,cbs
Mocs2,CG13090
Cyp6a22,Osi6
Cyp6a19,CG6950
Cyp6a9,CG5144
prt,Cpr67Fa2
CG10252,CG1486
Lap1,CG9254
CG10257,bur
aPKC,par-6
Hakai,Rcc1
Hakai,CG1104
Hakai,vir
Hakai,CG5380
Hakai,BM-40-SPARC
CG10265,CG17625
CG10265,mod(mdg4)
CG10265,vnd
Zif,CG15436
Zif,CG4957
Zif,Mdh1
D19A,CG5050
D19A,M1BP
D19B,CG17292
GATAe,GstE3
Rm62,numb
Rm62,CG5110
Rm62,CG7879
TfIIFalpha,NHP2
Gasp,su(Hw)
how,brp
how,Hydr2
CG10298,rec
CG10301,CG1314
CG10301,Jafrac1
RpS26,CG14543
RpS26,CG6310
CG10306,CG5642
CG10306,rg
CycJ,CG7518
CG10311,CG12746
CG10311,CG31643
eIF2B-delta,skpC
eIF2B-delta,eIF2B-beta
NC2alpha,spn-F
NC2alpha,CG1307
NC2alpha,CG17121
NC2alpha,NC2beta
NC2alpha,CtBP
CG10321,Tsp42Ek
CG10321,CG14811
CG10321,CG15116
CG10321,Syn2
CG10324,l(2)37Cb
CG10324,CG11266
CG10324,SRm160
CG10324,su(w[a])
CG10324,CG31211
CG10324,Srp54
CG10324,CG5808
CG10324,CG6340
CG10324,CG6843
TBPH,CG5890
TBPH,Fem-1
TBPH,CG9083
nonA-l,CG10869
nonA-l,CG6425
spi,CG13272
Pbgs,Pbgs
Pbgs,Tim17a2
CG10336,CG7191
CG10339,CG43129
CG10340,ATPsyn-beta
CG10341,Prp19
CG10344,CG12012
Grip71,kel
CG10348,gus
CG10353,CG13296
ref(2)P,ScpX
ref(2)P,Act87E
Tep4,CG7182
msb1l,Dlc90F
msb1l,CG1678
msb1l,CG4053
msb1l,CG4335
msb1l,CG8584
CG10365,CG13084
CG10365,Xrp1
CG10365,eIF-5A
CG10366,CG10494
CG10366,VhaAC39-1
Jwa,CG8248
Jwa,epsilonCOP
Lsd-1,CG14453
Hrb27C,Rb97D
Hrb27C,tna
mbc,CG2871
mbc,Galk
tos,sol
Ubx,yuri
sxc,CoIV
sxc,Lcp1
sxc,CG34324
sxc,CG13043
sxc,CG2852
sxc,Stam
sxc,Lcp2
amos,CG30417
CG10395,RpL36A
CG10396,ZnT41F
CG10396,CG30089
CG1041,Pex5
CG1041,Tango10
CG1041,ebd1
CG1041,kin17
TfIIEalpha,TfIIEbeta
CG10418,CG2021
CG10418,Chi
CG10418,LSm1
Gem2,Smn
Gem2,Rac2
CG10424,Dcp1
CG10426,CG3309
CG10440,CG10440
CG10440,TfAP-2
Nf-YB,Mes4
Catsup,CG9911
zen,Mad
zen,CG4325
cer,CtsB1
cer,Swim
cer,CG6337
CG10462,Mdr49
CG10465,CG10465
CG10465,Snr1
CG10465,AnxB11
CG10466,Blos2
CG10466,CG5280
CG10469,pip
CG10470,sky
CG10472,PIG-S
Jon65Ai,CG12581
alphaKap4,Mob2
alphaKap4,SmE
alphaKap4,CG3876
alphaKap4,CG7208
Rcc1,CG12723
Rcc1,zfh1
Rcc1,CG31999
CG10483,Mob4
Rpn3,Blos2
Rpn3,mod(mdg4)
CG10486,RpL11
eyg,sol
eyg,term
Pole2,CG11555
Pole2,CG14089
CG10494,CG4159
CG10494,CG4820
Sdc,MED31
Aats-gln,SpdS
CG10508,CG16721
CG10508,Prm
CG10510,CG4511
CG10510,Snx6
CG10513,CG11726
CG10513,CG13168
CG10513,Rlb1
CG10514,CG11892
tub,et
tub,Amph
sti,CG15715
park,CG12860
Pkcdelta,robl
Pkcdelta,Pvf1
CG10527,CG13321
CG10527,CG13928
CG10527,mod(mdg4)
CG10527,CG44251
fs(2)ltoPP43,CG16812
fs(2)ltoPP43,CG3281
Cht9,CG12773
Cht9,CG14968
Elp1,CG30393
cpa,cpb
cpa,CG4335
cpa,CG9014
CG10550,CG13996
CG10550,CG1746
CG10559,CG1690
CG10559,Fis1
CG10559,CG18624
CG10559,cold
CG10559,gb
CG10565,CG11852
CG10565,CG7182
CG10566,PICK1
CG10570,CG1461
CG10570,CG9578
ko,CG8407
I-2,Pp1-87B
CG10576,so
DnaJ-1,eRF1
DnaJ-1,CG7371
Sin,ftz
Sin,CG5147
CG10589,Phm
CG10590,CG11753
Acer,CG5844
spo,CG15042
bsh,RpL17
bsh,Spx
bsh,ninaE
bsh,C15
caup,dod
caup,CG7381
ECSIT,CG15863
CG10616,CG4955
tup,Lim3
tup,CG11883
tup,Pgam5
tup,Chi
tup,Fmr1
CG10621,Cpr100A
nst,beta-Spec
CG10631,CG12391
sowah,par-6
CG10635,CG10914
CG10635,SIP3
Snr1,CG42700
Snr1,CG18259
lama,Jon66Cii
CG10651,Dok
hk,CG15071
CG10654,fd68A
CG10654,CG14011
CG10654,CG17801
CG10654,CG17855
CG10654,CG4730
CG10654,CG8301
CG10654,M1BP
CG10657,Arp1
CG10663,Syp
CoIV,CG11790
Prpk,Axud1
CG10674,CG1544
Nedd8,Den1
CG10681,Ns3
CG10681,Blos1
CG10681,Sec6
rhi,CG15116
rhi,Rpt6R
rhi,CG2678
rhi,dx
rhi,cnn
l(2)37Cg,CG1138
l(2)37Cg,CG13957
l(2)37Cg,Src42A
l(2)37Cg,CG3756
l(2)37Cg,LSm1
Pat1,CG17658
Pat1,CG6470
Pat1,CG6511
Pat1,pcs
Pu,mxt
Lim3,Gnf1
Lim3,CG18371
Lim3,Chi
Lim3,Fmr1
Lim3,l(3)j2D3
Lim3,CG6972
Lim3,CG8461
Lim3,NK7.1
Alh,Hsp27
Moe,CG11322
GCC88,Spx
toe,CG3880
E2f2,CG15109
E2f2,Dp
CG10710,CG11796
CG10710,Bet1
CG10710,Pih1D1
Chro,l(3)mbt
CG10721,CG1503
CG10721,mtDNA-helicase
vls,dimm
CG10732,Oatp74D
CG10734,mle
Liprin-beta,CG9754
CG10749,CG14210
CG10750,CG11656
CG10750,Pglym87
CG10750,Nup62
CG10750,Dysb
robl,CG13074
CG10752,CG3630
SmD1,HP5
SmD1,CG4116
CG10754,dar1
Taf13,Taf11
Fip1,Clp
ng1,ea
dm,beat-IIa
dm,GstT4
dm,thoc7
dm,Octbeta2R
dm,CG31523
dm,ND23
dm,Ets97D
dm,Sdic1
dm,Max
CG10799,CG1640
Rca1,CG11444
Rca1,olf413
Rca1,CG13133
Rca1,CG13822
Rca1,CG14151
Rca1,CG15529
Rca1,skpA
Rca1,GstE10
Rca1,Syt1
Rca1,CG3448
Rca1,CG4335
Rca1,skpB
Nha1,CG14957
CG10809,Nup214
eIF4G,Srp9
eIF4G,tey
CG10814,CG4301
CG10822,Drep-1
Cyp28d1,EDTP
robl22E,CG30409
robl22E,CG31275
Cyp4p1,CG7387
dyn-p25,CG13081
dyn-p25,l(2)37Ce
dyn-p25,CG17652
dyn-p25,RpL17
ntc,skpF
ntc,PI31
CG10869,CoVa
Vha26,VhaSFD
Vha26,Vha13
Sec24CD,CG6443
CG10887,CG12674
CG10887,Dip-B
CG10889,Lapsyn
CG10889,dod
osk,CG15185
CG10903,CG9527
CG10909,CG11148
CG1091,Smn
CG1091,Rpt6R
CG1091,CG2709
CG10911,CG42336
Spn55B,RpS21
Spn55B,bdg
CG10914,CG15676
CG10914,GstE1
CG10914,CG7009
CG10918,CG11982
CG1092,CG8187
La,Cdc27
CG10924,aqrs
CG10924,CG30409
CG10927,CG33129
CG10927,Tollo
Prosalpha5,CG7156
CG10943,CG2023
CG10947,CG32354
CG10948,CG6763
CG10948,Edg78E
CG10949,CG14315
CG10949,Fer1HCH
CG10949,Arr1
CG10949,CG6683
CG10949,CG9948
Arpc2,Crc
Rtf1,SmE
CG10959,CG13151
CG10959,Gprk1
CG10959,wek
Traf6,brn
Traf6,CG6220
Traf6,CG7974
Corp,CG8003
Hip1,Gr58b
Hip1,CG14410
Hip1,Stam
Hip1,CG6733
Hip1,cert
Vap-33B,Sirt7
Vap-33B,CG13477
Vap-33B,CG15306
Vap-33B,por
jagn,CG16853
CG10979,CG18135
dgrn,CG15124
dgrn,CG4218
dgrn,CG5516
Grip91,CG9850
Dap160,CG15022
Dap160,drongo
Dap160,RASSF8
CG10996,pip
FK506-bp2,CG11486
CG42588,vnd
CG42588,Cks85A
Wbp2,CG43894
Wbp2,CG3529
Ref1,CG17003
Ref1,CG18259
Ref1,Or45a
Ref1,CG9775
cl,Trxr-1
isopeptidase-T-3,CG11409
Kdm2,olf413
CG1104,CG5862
Efhc1.2,Prosbeta7
Nplp2,Eig71Ek
CG11052,CG32354
Hsl,skpC
Hsl,CG6766
Hsl,CG7724
GM130,Cpr64Ad
GM130,sol
GM130,CG6073
GM130,CG9293
Rfabg,blw
CG11076,CG9890
CG34424,CG15436
PlexA,CG15293
PlexA,CG5866
Gadd45,Hnf4
Nup93-1,FoxP
dsx,Cas
dsx,C901
dsx,CG34168
pwn,CG16947
Mink,Jupiter
so,VhaAC39-1
so,CG5033
so,gro
so,Sobp
so,eya
sPLA2,mRpS17
CG11125,CG13868
CG11125,Cdlc2
CG11127,CG2023
slif,CG42676
DMAP1,CG13605
DMAP1,Gas41
CG11134,CG30089
CG11134,yki
CG11134,l(3)L1231
p47,Chi
Aldh-III,CG11699
obst-E,sol
obst-E,Gtp-bp
mGluR,CG9170
Vps37B,CG15676
Vps37B,CG1638
Vps37B,crl
Vps37B,TSG101
CG11151,Pex5
mus101,CG30089
CG11159,TfIIA-L
CG1116,CG18417
ZnT41F,ZnT41F
ZnT41F,CG11200
ZnT41F,CG12994
ZnT41F,CG13579
ZnT41F,Ire1
ZnT41F,CG5639
ZnT41F,mex1
CG11164,Not3
CG11165,skl
Eaf,fax
Eaf,gnu
NFAT,CG3353
Snap29,Syx4
Snap29,Syx1A
Snap29,alphaSnap
Tango2,Eip55E
Tango2,hdly
Tango2,Shal
CG11180,CG3548
cup,eIF4E-7
cup,me31B
PHDP,Zasp67
PHDP,p115
PHDP,cactin
PHDP,CG7492
PHDP,Vps45
Dcp1,CG9821
Upf3,CG14853
Aatf,CG4617
Aatf,CG5050
Aatf,l(2)34Fd
CG11190,CG5973
Hey,dpn
Hey,CG8927
IntS10,IntS14
IntS10,CG5274
IntS10,slmo
CG11200,CG33144
CG11200,CG8191
TTLL3B,Galt
org-1,CG8188
phr,brv1
feo,kek3
CG11208,veli
Ptr,Dsk
Cp38,CG12470
Cp38,CstF-50
Cp38,ewg
Cp38,CG3680
Obp56d,Hk
hpo,CG13705
hpo,sav
hpo,Drep-3
CG1124,Ccp84Af
CG11247,Spt3
CG11247,CG42260
CG11247,alien
CG11248,Mtor
CG11249,CG3942
Zmynd10,tilB
mael,rl
mael,CG9911
AdenoK,Taf12
AdenoK,Glycogenin
CG1126,fbl
Trf4-1,CG16717
CG11266,CG11266
CG11266,Cwc25
CG11266,CG31211
CG11266,CG31997
CG11266,Srp54
CG11266,CG6340
CG11266,CG6843
CG11266,CG8273
CG11267,CG8187
ste14,CG13689
ste14,CG15908
CG11269,CG13272
SRm160,CG31211
SRm160,CG3918
SRm160,CG6843
CG11275,hoe1
CG11275,CG15578
CG11275,pnt
CG11275,Chi
CG11275,CG4766
CG11275,Lcp2
alpha-Est9,CG1927
caps,CG4822
CG11284,Pex5
CG11286,CG9578
CG1129,heph
CG1129,CG8207
Sesn,l(2)k10201
Sesn,tna
Sesn,Flo1
Sesn,Cyp4s3
Sesn,Pp2B-14D
CG11300,ball
Mes4,CG17244
Mes4,NC2beta
Mes4,AdipoR
Sirt7,CkIIbeta
sa,CG2082
sa,Taf10b
sa,ZAP3
insc,Vha55
fd64A,Tango6
fd64A,wdb
fd64A,CG8494
fd64A,bab1
CG11320,CG1943
CG11322,CG3704
homer,CG13428
homer,COQ7
homer,CG14982
homer,CG2091
homer,CG45105
homer,NDUFA8
homer,EloB
homer,CG8235
Tsp,CG14931
Tsp,CR17025
Tsp,RASSF8
Tsp,slow
CG11327,Eb1
CG11337,CG31121
Mul1,atl
CG11340,PebII
CG11345,Cip4
CG11345,CG2972
DOR,CG11876
DOR,Atg8b
DOR,Atg8a
CG11349,CG4853
Rcd5,egr
Rcd5,CG18004
Rcd5,CG31036
Rcd5,CG6175
CG11350,CG13043
CG11350,Stam
Lim1,sage
Lim1,Chi
Lim1,CG5516
CG11362,ena
CG1137,RanBPM
CG11379,CG2926
CG1138,Snx1
CG11380,CG13138
CG11380,CG15865
CG11380,Ssdp
CG11381,Sgt
CG11381,MCPH1
CG11382,CG1598
ct,WASp
PebIII,CG32795
PebIII,spheroide
CG11404,CG1275
Atf3,Jra
CG11407,IntS4
CG11409,Obp56a
CG11409,spict
CG11409,CG33056
CG11412,CG4065
CG11412,CG5919
CG11417,RpS11
APC10,CG13090
APC10,FER
CG1142,CG3303
rb,Rcd7
rb,cactin
CG11438,CG43129
CG11448,CG17994
CG11448,CG7206
CG11448,CG7357
CG11448,CG8145
CG11448,Pnn
CG11449,krz
Spc105R,CG13326
CG11454,CG17599
CG11454,CG4622
CG11454,Ibf2
CG11455,CG6195
CG11456,CG13005
CG11456,TpnC41C
CG11456,Jon65Aiv
CG11474,CG5149
CG11486,CG14641
CG11486,CG6337
CG11486,eIF4E-3
CG11486,PAN2
CG11486,ATPCL
CG11486,CG8924
srpk79D,Tektin-A
srpk79D,CG9356
srpk79D,Pez
Tbc1d15-17,spartin
Tbc1d15-17,Atg8b
br,CG4270
BtbVII,bip2
rasp,Arp5
CG11498,rump
Osi6,E(spl)mdelta-HLH
GstD4,GstD6
GstD4,Fibp
CG11523,CG6428
CG11523,CG9791
CycG,CG5151
CycG,wdb
CG11526,Git
CG11526,CG5038
Tig,CG3499
Tig,CG4335
CG11534,CG17328
CG11534,CG8134
kermit,Sh
kermit,RpL5
kermit,CG32447
kermit,CG33095
kermit,Mob4
kermit,T48
kermit,CG42674
kermit,CG8136
kermit,Shroom
CG11560,CG11560
CG11560,krz
smo,CG17493
CG11570,CG9522
CG11576,CG7910
CG11577,CG17549
arm,pan
arm,CG3402
arm,CG9541
CG11581,CG14369
CG11581,Rox8
CG11581,CG9319
VhaM9.7-c,CG8111
Dpy-30L2,CG2061
Dpy-30L2,CG3163
Dpy-30L2,CG31729
Dpy-30L2,CG4712
Dpy-30L2,Rip11
CG11594,CG3662
CG11596,Sh
CG11601,Syx18
mbm,CG42500
mbm,alpha-Man-I
Rpp30,Drep-2
H2.0,pelo
Rlip,CG13711
Rlip,CG13712
Rlip,SNCF
Rlip,CG14610
Rlip,CG15452
Rlip,Rala
Rlip,CG32086
Rlip,NDUFA8
Ubi-p63E,lds
Ubi-p63E,l(1)G0148
step,alpha-Man-I
RpII18,CG2091
CG11635,CG17272
CG11635,NimC1
CG11638,skl
CG11638,KCNQ
CG11638,CG8840
TfIIA-S-2,TfIIA-L
Abd-B,CG1486
CG11652,CG16717
CG11652,CG7265
Ahcy13,CG14231
Ahcy13,W
CG11656,CG15071
CG11656,CG17564
Arp6,CG4362
7B2,CG15109
mle,fu12
mle,CG4822
CG11695,CG4766
CG11696,CG14667
CG11696,wdb
CG11696,CG7386
CG11698,CG12985
CG11698,E(spl)mdelta-HLH
CG11710,Lapsyn
Mob2,CG34168
Mob2,NimC1
CG45263,Vps45
CG11722,Elba3
CG11722,betaggt-II
CG11722,Eip55E
CG11723,emp
Evi5,CG5280
l(1)G0004,Cip4
Pa1,ptip
CG11753,CG9090
CG11755,CG7185
CG11756,CDC45L
CG11756,P32
trsn,trsn
trsn,PQBP1
trsn,CBP
trsn,CG17599
trsn,Snx1
trsn,mRpL12
trsn,Trax
trsn,CG7945
trsn,rau
trsn,Ibf2
RanBPM,CG13084
RanBPM,CG13458
RanBPM,CG14442
RanBPM,TwdlE
lin,tws
CG11786,CG3918
CG11790,CG3397
CG11790,CG6733
CG11791,CG18528
CG11796,CG14105
chn,PPYR1
fd68A,sinah
fd68A,CG14220
fd68A,CG3016
fd68A,CG3838
fd68A,CG8301
CG11802,CG3224
CG11802,Nup62
CG11802,Unr
CG11808,Las
CG11808,Gk
CG11811,CG15236
mv,Cpr92F
mv,CG9796
Ssl2,mRpL28
Ssl2,CG5846
CG11835,CG4415
CG11835,Nacalpha
vig2,Glg1
dan,SmE
CG11852,CG8508
Nup358,CG7786
CG11865,Nacalpha
CG43143,Rpn13
CG43143,l(1)G0255
CG43143,Snx6
CG11873,ssp6
CG11876,CG13280
CG11876,jigr1
CG11876,eIF2B-beta
CG11876,fl(2)d
CG11876,l(1)G0334
CG11876,pes
CG11878,CG14184
dgt6,RhoGAP92B
dgt6,dgt4
dgt6,Arr1
dgt6,ATPsyn-d
CG11882,CG11882
CG11882,mei-S332
CG11882,CG6421
CG11882,Clc
CG11882,Chc
CG11883,CG15735
CG11883,CG4328
CG11885,CG13319
Elp2,CG14000
Rpn2,spn-F
Rpn2,Rpn13
CG11892,poe
CG11892,spn-B
CG11893,CkIIalpha-i3
m-cup,msd5
m-cup,CG31559
m-cup,glo
m-cup,DNApol-alpha50
m-cup,CG8768
m-cup,CG9458
CG11897,Cpr47Ea
CG11899,PHGPx
CG11899,SelR
Ef1gamma,Ir10a
CG11905,CG14625
CG11905,CG18259
CG11905,Fhos
CG11906,cactin
Ent1,CG3303
CG11920,CG13097
CG11920,CG13458
skpC,CG4221
skpC,CG9316
cora,CG9636
skap,yip3
CG11964,c12.1
CG11964,CG8617
RagA-B,scra
RagA-B,RagC-D
CG11970,mfrn
Prosbeta3,CG12985
Prosbeta3,CG13138
CG11984,CG16894
CG11985,CG5466
neur,koi
neur,Tom
vnc,CG18067
vnc,alph
vnc,stv
CG11999,Dhfr
spartin,Gas8
spartin,CG33144
Pxn,CG6429
Pxn,Lectin-galC1
CG12007,betaggt-II
CG12010,CG5569
CG12016,CG3744
CG12016,Dis3
CG12017,cpo
Cdc37,vari
CG12020,skl
CG12020,CG4766
GV1,dUTPase
Gale,Gale
Gale,CG6685
CG12034,jp
CG12034,Kr-h2
Cpr100A,Cpr100A
Cpr100A,CG12992
Cpr100A,CG15080
Cpr100A,Cpr97Eb
Cpr100A,Cpr11A
Cpr100A,CG5767
Cpr100A,Ela
Act42A,capt
lola,Chi
lola,CG4570
lola,apt
lola,Arpc3B
CG12054,CG12404
Pka-C2,Cyp6d5
CG12081,CG1399
CG12081,RPA3
CG12081,E(z)
pUf68,CG12304
pUf68,CG17568
pUf68,CG5376
pUf68,CG5913
Pdk1,CG5815
Pdk1,l(3)neo38
Pdk1,Mst57Da
CG12106,CG7168
CG12107,CG14506
CG12107,CG5375
Ppt1,CG5846
spn-F,CG14556
spn-F,CG15549
spn-F,Ady43A
